system   D            wsystem.c:583  maybe_parent_dir                 [   0.00035] Also searching E:\Visual Studio\Projects\SummerProject\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00062] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00065] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00594] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01382] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01386] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01495] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01498] al_display=00505340
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01499] al_display->vt=00504F10
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01615] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.01617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01618] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01619] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01620] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01622] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01622] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01623] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01624] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01625] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01627] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01627] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01628] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01630] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01631] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01631] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01632] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01633] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01634] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01635] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01635] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01639] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01640] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01641] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01642] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01642] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01644] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01645] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01646] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01646] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01647] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01648] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01649] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01650] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01650] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01651] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01653] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01655] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01656] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01656] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01657] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01658] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01659] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01660] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01661] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01662] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01663] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01664] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01664] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01665] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01666] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01667] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01668] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01669] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01669] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01670] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01671] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01672] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01672] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01673] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01675] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01676] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01677] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01677] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01678] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01679] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01680] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01680] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01681] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01682] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01683] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01684] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01685] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01686] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01687] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01688] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01688] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01689] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01690] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01691] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01693] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01693] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01694] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01695] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01696] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01697] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01697] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01698] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01699] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01700] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01701] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01701] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01702] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01703] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01704] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01704] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01705] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01706] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01707] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01708] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01709] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01709] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01710] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01711] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01712] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01712] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01713] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01714] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01715] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01716] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01717] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01717] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01718] Score is : 715
